subject,sub_index,cluster
1001,0,1.0
1002,1,1.0
1003,2,0.0
1004,3,0.0
1005,4,0.0
1006,5,0.0
1007,6,0.0
1008,7,1.0
1009,8,1.0
1010,9,0.0
1011,10,0.0
1013,11,0.0
1014,12,0.0
1015,13,0.0
1017,14,1.0
1018,15,1.0
1019,16,0.0
1020,17,0.0
1021,18,0.0
1022,19,0.0
1024,20,1.0
1025,21,1.0
1026,22,1.0
1028,23,0.0
1030,24,1.0
1033,25,1.0
1034,26,0.0
1035,27,0.0
1036,28,0.0
1037,29,0.0
1039,30,1.0
1040,31,0.0
1042,32,1.0
2001,33,0.0
2002,34,1.0
2003,35,0.0
2004,36,1.0
2005,37,0.0
2006,38,0.0
2007,39,0.0
2008,40,0.0
2009,41,1.0
2010,42,1.0
2011,43,0.0
2012,44,0.0
2013,45,0.0
2015,46,1.0
2016,47,0.0
2017,48,1.0
2018,49,1.0
2019,50,1.0
2020,51,1.0
2021,52,0.0
2022,53,1.0
2023,54,1.0
2024,55,1.0
2025,56,1.0
2026,57,0.0
2027,58,0.0
2028,59,0.0
2029,60,0.0
2030,61,0.0
2031,62,0.0
2032,63,1.0
2033,64,1.0
2034,65,0.0
2035,66,0.0
2036,67,0.0
2037,68,1.0
2038,69,1.0
2039,70,0.0
2040,71,0.0
3001,72,0.0
3002,73,0.0
3003,74,0.0
3004,75,1.0
3005,76,0.0
3006,77,0.0
3007,78,1.0
3008,79,0.0
3009,80,1.0
3010,81,0.0
3011,82,1.0
3012,83,1.0
3013,84,0.0
3014,85,0.0
3015,86,0.0
3016,87,0.0
3017,88,0.0
3018,89,1.0
3019,90,0.0
3020,91,1.0
3021,92,0.0
3022,93,0.0
3023,94,0.0
3024,95,0.0
3025,96,0.0
3026,97,0.0
4001,98,1.0
4003,99,0.0
4004,100,0.0
4005,101,0.0
4006,102,1.0
4007,103,0.0
4008,104,1.0
4009,105,1.0
4011,106,1.0
4012,107,0.0
4013,108,1.0
4014,109,0.0
4015,110,0.0
4017,111,0.0
4018,112,0.0
4019,113,0.0
4020,114,1.0
4021,115,0.0
4022,116,1.0
4023,117,0.0
4024,118,0.0
4025,119,0.0
4026,120,1.0
4027,121,1.0
4029,122,1.0
