subject,sub_index,cluster
1001,0,0.0
1002,1,0.0
1003,2,0.0
1004,3,1.0
1005,4,0.0
1006,5,0.0
1007,6,0.0
1008,7,1.0
1009,8,0.0
1010,9,0.0
1011,10,0.0
1013,11,0.0
1014,12,1.0
1015,13,0.0
1017,14,0.0
1018,15,0.0
1019,16,1.0
1020,17,1.0
1021,18,0.0
1022,19,1.0
1024,20,1.0
1025,21,1.0
1026,22,0.0
1028,23,0.0
1030,24,1.0
1033,25,0.0
1034,26,0.0
1035,27,1.0
1036,28,0.0
1037,29,0.0
1039,30,1.0
1040,31,0.0
1042,32,0.0
2001,33,1.0
2002,34,1.0
2003,35,1.0
2004,36,1.0
2005,37,1.0
2007,38,1.0
2009,39,0.0
2010,40,0.0
2011,41,1.0
2012,42,0.0
2013,43,0.0
2015,44,1.0
2016,45,0.0
2017,46,0.0
2018,47,1.0
2019,48,0.0
2020,49,0.0
2021,50,0.0
2022,51,0.0
2023,52,1.0
2024,53,0.0
2025,54,1.0
2026,55,0.0
2027,56,0.0
2028,57,1.0
2029,58,0.0
2030,59,1.0
2031,60,1.0
2032,61,1.0
2033,62,1.0
2034,63,1.0
2036,64,1.0
2037,65,0.0
2038,66,1.0
2039,67,0.0
2040,68,0.0
3001,69,1.0
3002,70,0.0
3003,71,0.0
3004,72,0.0
3005,73,0.0
3006,74,1.0
3007,75,0.0
3008,76,0.0
3009,77,0.0
3010,78,1.0
3011,79,1.0
3012,80,0.0
3013,81,0.0
3014,82,0.0
3015,83,0.0
3016,84,0.0
3017,85,0.0
3018,86,0.0
3019,87,0.0
3020,88,0.0
3021,89,0.0
3022,90,1.0
3023,91,0.0
3024,92,1.0
3025,93,0.0
3026,94,1.0
4001,95,1.0
4002,96,0.0
4003,97,0.0
4005,98,0.0
4006,99,0.0
4007,100,0.0
4008,101,1.0
4009,102,0.0
4010,103,0.0
4011,104,1.0
4012,105,0.0
4013,106,0.0
4014,107,1.0
4015,108,0.0
4016,109,1.0
4017,110,0.0
4019,111,0.0
4020,112,1.0
4021,113,0.0
4022,114,1.0
4023,115,0.0
4024,116,1.0
4025,117,0.0
4026,118,0.0
4027,119,0.0
4028,120,1.0
