subject,sub_index,cluster
1001,0,0.0
1002,1,1.0
1003,2,1.0
1004,3,0.0
1005,4,1.0
1006,5,0.0
1007,6,1.0
1008,7,1.0
1009,8,1.0
1010,9,1.0
1011,10,0.0
1013,11,1.0
1014,12,0.0
1015,13,0.0
1017,14,1.0
1018,15,1.0
1019,16,1.0
1020,17,0.0
1021,18,1.0
1022,19,0.0
1023,20,1.0
1024,21,0.0
1025,22,0.0
1026,23,0.0
1028,24,1.0
1030,25,1.0
1033,26,1.0
1034,27,0.0
1035,28,0.0
1036,29,0.0
1037,30,1.0
1039,31,0.0
1040,32,1.0
1042,33,1.0
2001,34,0.0
2002,35,1.0
2003,36,0.0
2004,37,0.0
2005,38,1.0
2008,39,0.0
2009,40,1.0
2010,41,0.0
2011,42,0.0
2012,43,0.0
2013,44,1.0
2015,45,1.0
2016,46,0.0
2017,47,0.0
2018,48,0.0
2019,49,0.0
2020,50,0.0
2021,51,0.0
2022,52,1.0
2023,53,0.0
2024,54,1.0
2025,55,1.0
2026,56,0.0
2027,57,0.0
2028,58,0.0
2029,59,0.0
2030,60,0.0
2031,61,0.0
2032,62,1.0
2033,63,0.0
2034,64,0.0
2035,65,1.0
2036,66,0.0
2037,67,1.0
2038,68,0.0
2039,69,1.0
2040,70,0.0
3001,71,1.0
3002,72,1.0
3004,73,0.0
3006,74,1.0
3007,75,0.0
3008,76,0.0
3009,77,1.0
3010,78,0.0
3011,79,0.0
3012,80,0.0
3013,81,0.0
3014,82,0.0
3015,83,1.0
3016,84,0.0
3017,85,0.0
3018,86,1.0
3019,87,1.0
3020,88,1.0
3021,89,0.0
3022,90,1.0
3023,91,1.0
3024,92,0.0
3025,93,0.0
3026,94,0.0
4001,95,0.0
4003,96,0.0
4004,97,0.0
4005,98,0.0
4006,99,1.0
4007,100,1.0
4008,101,1.0
4009,102,0.0
4011,103,0.0
4012,104,1.0
4013,105,0.0
4014,106,0.0
4015,107,0.0
4016,108,1.0
4017,109,0.0
4018,110,0.0
4020,111,1.0
4021,112,1.0
4022,113,1.0
4023,114,1.0
4024,115,0.0
4025,116,1.0
4026,117,1.0
4027,118,0.0
4028,119,0.0
4029,120,1.0
