subject,sub_index,cluster
1001,0,1.0
1002,1,1.0
1003,2,1.0
1005,3,1.0
1006,4,1.0
1007,5,1.0
1008,6,1.0
1009,7,1.0
1010,8,1.0
1011,9,1.0
1013,10,1.0
1014,11,1.0
1015,12,1.0
1017,13,1.0
1018,14,1.0
1019,15,1.0
1020,16,1.0
1022,17,1.0
1023,18,1.0
1024,19,1.0
1025,20,1.0
1026,21,0.0
1028,22,1.0
1030,23,1.0
1033,24,0.0
1034,25,1.0
1035,26,1.0
1036,27,1.0
1037,28,1.0
1039,29,1.0
1040,30,1.0
1042,31,1.0
2001,32,1.0
2002,33,0.0
2003,34,1.0
2004,35,1.0
2005,36,1.0
2007,37,1.0
2008,38,1.0
2009,39,1.0
2011,40,0.0
2012,41,0.0
2014,42,1.0
2015,43,1.0
2016,44,1.0
2017,45,0.0
2018,46,1.0
2019,47,0.0
2020,48,0.0
2021,49,1.0
2022,50,1.0
2023,51,1.0
2024,52,1.0
2025,53,1.0
2026,54,1.0
2028,55,1.0
2029,56,1.0
2030,57,1.0
2031,58,1.0
2032,59,1.0
2033,60,1.0
2034,61,0.0
2035,62,0.0
2036,63,1.0
2037,64,1.0
2038,65,1.0
2039,66,1.0
2040,67,1.0
3001,68,1.0
3002,69,1.0
3003,70,1.0
3004,71,1.0
3005,72,1.0
3006,73,1.0
3007,74,0.0
3008,75,0.0
3009,76,1.0
3010,77,1.0
3011,78,1.0
3012,79,1.0
3013,80,0.0
3014,81,1.0
3015,82,1.0
3016,83,1.0
3017,84,1.0
3018,85,1.0
3019,86,1.0
3020,87,1.0
3021,88,1.0
3022,89,1.0
3023,90,1.0
3024,91,1.0
3025,92,1.0
3026,93,1.0
4001,94,1.0
4002,95,1.0
4003,96,1.0
4004,97,1.0
4005,98,1.0
4006,99,1.0
4007,100,1.0
4008,101,1.0
4010,102,1.0
4011,103,1.0
4012,104,0.0
4013,105,0.0
4014,106,1.0
4015,107,1.0
4016,108,1.0
4017,109,1.0
4018,110,1.0
4019,111,1.0
4020,112,1.0
4021,113,1.0
4022,114,1.0
4023,115,0.0
4024,116,1.0
4025,117,1.0
4026,118,0.0
4027,119,1.0
4028,120,1.0
4029,121,1.0
