subject,sub_index,cluster
1001,0,0.0
1002,1,0.0
1003,2,0.0
1005,3,0.0
1006,4,1.0
1007,5,0.0
1008,6,0.0
1009,7,1.0
1010,8,0.0
1011,9,0.0
1013,10,0.0
1014,11,1.0
1015,12,1.0
1017,13,0.0
1018,14,1.0
1019,15,1.0
1020,16,1.0
1022,17,0.0
1023,18,0.0
1024,19,1.0
1025,20,1.0
1026,21,1.0
1028,22,0.0
1030,23,1.0
1033,24,0.0
1034,25,1.0
1035,26,1.0
1036,27,0.0
1039,28,1.0
1040,29,1.0
1042,30,0.0
2001,31,0.0
2002,32,0.0
2003,33,1.0
2004,34,0.0
2005,35,0.0
2007,36,0.0
2009,37,1.0
2011,38,1.0
2012,39,1.0
2014,40,0.0
2015,41,1.0
2016,42,0.0
2017,43,0.0
2018,44,1.0
2019,45,0.0
2020,46,0.0
2021,47,1.0
2022,48,1.0
2023,49,0.0
2024,50,0.0
2025,51,0.0
2026,52,1.0
2028,53,0.0
2029,54,1.0
2030,55,1.0
2031,56,1.0
2032,57,0.0
2033,58,0.0
2034,59,1.0
2035,60,0.0
2036,61,1.0
2037,62,0.0
2038,63,0.0
2039,64,1.0
2040,65,0.0
3001,66,1.0
3002,67,1.0
3003,68,1.0
3004,69,1.0
3006,70,0.0
3007,71,0.0
3008,72,0.0
3009,73,1.0
3010,74,0.0
3011,75,0.0
3012,76,0.0
3013,77,0.0
3014,78,0.0
3015,79,0.0
3016,80,0.0
3017,81,0.0
3018,82,0.0
3019,83,0.0
3020,84,1.0
3021,85,0.0
3023,86,0.0
3024,87,1.0
3025,88,0.0
3026,89,1.0
4001,90,0.0
4002,91,0.0
4003,92,1.0
4004,93,1.0
4005,94,0.0
4006,95,0.0
4007,96,0.0
4008,97,1.0
4010,98,1.0
4011,99,0.0
4012,100,0.0
4013,101,1.0
4014,102,0.0
4015,103,0.0
4016,104,0.0
4018,105,0.0
4020,106,1.0
4021,107,0.0
4022,108,0.0
4023,109,0.0
4024,110,1.0
4025,111,0.0
4026,112,1.0
4027,113,0.0
4028,114,1.0
4029,115,0.0
