subject,sub_index,cluster
1001,0,1.0
1002,1,1.0
1003,2,0.0
1004,3,1.0
1005,4,1.0
1006,5,0.0
1007,6,1.0
1008,7,0.0
1009,8,1.0
1010,9,1.0
1011,10,1.0
1013,11,1.0
1014,12,0.0
1015,13,0.0
1017,14,1.0
1018,15,1.0
1019,16,0.0
1020,17,0.0
1021,18,0.0
1022,19,0.0
1023,20,0.0
1024,21,0.0
1025,22,1.0
1026,23,1.0
1028,24,0.0
1030,25,1.0
1033,26,1.0
1034,27,1.0
1035,28,0.0
1036,29,1.0
1037,30,0.0
1039,31,1.0
1040,32,0.0
1042,33,0.0
2001,34,1.0
2002,35,1.0
2003,36,0.0
2004,37,1.0
2005,38,0.0
2006,39,0.0
2007,40,1.0
2008,41,0.0
2009,42,1.0
2010,43,0.0
2011,44,1.0
2012,45,1.0
2013,46,0.0
2014,47,0.0
2015,48,0.0
2016,49,0.0
2017,50,1.0
2018,51,0.0
2019,52,1.0
2020,53,1.0
2021,54,1.0
2022,55,1.0
2023,56,1.0
2024,57,1.0
2025,58,1.0
2026,59,0.0
2027,60,1.0
2028,61,0.0
2029,62,1.0
2030,63,0.0
2031,64,0.0
2032,65,0.0
2033,66,1.0
2034,67,0.0
2035,68,1.0
2036,69,0.0
2037,70,1.0
2038,71,1.0
2039,72,1.0
2040,73,0.0
3001,74,1.0
3002,75,0.0
3003,76,0.0
3004,77,1.0
3005,78,0.0
3006,79,0.0
3007,80,1.0
3008,81,0.0
3009,82,0.0
3010,83,1.0
3011,84,0.0
3012,85,1.0
3013,86,0.0
3014,87,0.0
3015,88,0.0
3016,89,0.0
3017,90,1.0
3018,91,1.0
3019,92,1.0
3020,93,1.0
3021,94,0.0
3022,95,0.0
3023,96,0.0
3024,97,0.0
3025,98,0.0
3026,99,0.0
4001,100,0.0
4002,101,0.0
4003,102,1.0
4004,103,1.0
4005,104,0.0
4006,105,1.0
4007,106,0.0
4008,107,1.0
4009,108,1.0
4010,109,1.0
4011,110,1.0
4012,111,1.0
4013,112,1.0
4014,113,0.0
4015,114,0.0
4016,115,0.0
4017,116,1.0
4018,117,0.0
4019,118,0.0
4020,119,0.0
4021,120,1.0
4022,121,0.0
4023,122,1.0
4024,123,0.0
4025,124,0.0
4026,125,1.0
4027,126,1.0
4028,127,0.0
4029,128,1.0
