subject,sub_index,cluster
1001,0,0.0
1002,1,0.0
1003,2,0.0
1004,3,0.0
1005,4,0.0
1006,5,0.0
1007,6,0.0
1008,7,1.0
1009,8,0.0
1010,9,0.0
1011,10,0.0
1013,11,0.0
1014,12,0.0
1015,13,0.0
1017,14,1.0
1018,15,1.0
1019,16,0.0
1020,17,1.0
1021,18,0.0
1022,19,0.0
1023,20,0.0
1024,21,0.0
1025,22,0.0
1026,23,1.0
1028,24,0.0
1030,25,0.0
1033,26,1.0
1034,27,0.0
1035,28,0.0
1036,29,1.0
1037,30,0.0
1039,31,1.0
1040,32,0.0
1042,33,0.0
2001,34,1.0
2002,35,1.0
2003,36,0.0
2004,37,1.0
2005,38,1.0
2006,39,0.0
2007,40,0.0
2008,41,0.0
2009,42,1.0
2010,43,0.0
2011,44,0.0
2012,45,0.0
2013,46,0.0
2014,47,0.0
2015,48,0.0
2017,49,0.0
2018,50,0.0
2019,51,1.0
2020,52,0.0
2021,53,0.0
2022,54,1.0
2023,55,1.0
2024,56,1.0
2025,57,0.0
2026,58,1.0
2027,59,0.0
2028,60,1.0
2029,61,0.0
2030,62,1.0
2031,63,0.0
2032,64,0.0
2033,65,0.0
2034,66,1.0
2036,67,0.0
2037,68,1.0
2038,69,0.0
2039,70,0.0
2040,71,0.0
3001,72,1.0
3002,73,0.0
3003,74,0.0
3004,75,1.0
3005,76,1.0
3006,77,0.0
3007,78,1.0
3008,79,1.0
3009,80,0.0
3010,81,1.0
3011,82,1.0
3012,83,0.0
3013,84,0.0
3014,85,1.0
3015,86,0.0
3016,87,0.0
3017,88,1.0
3018,89,1.0
3019,90,0.0
3020,91,0.0
3021,92,0.0
3022,93,1.0
3023,94,0.0
3024,95,1.0
3025,96,0.0
3026,97,0.0
4001,98,0.0
4002,99,1.0
4003,100,0.0
4004,101,0.0
4005,102,1.0
4006,103,1.0
4007,104,0.0
4008,105,1.0
4009,106,0.0
4010,107,1.0
4011,108,0.0
4012,109,0.0
4013,110,1.0
4014,111,0.0
4015,112,0.0
4016,113,0.0
4017,114,1.0
4018,115,0.0
4019,116,0.0
4020,117,0.0
4021,118,1.0
4022,119,0.0
4023,120,0.0
4024,121,0.0
4025,122,1.0
4026,123,0.0
4027,124,0.0
4028,125,0.0
4029,126,1.0
