subject,sub_index,cluster
1001,0,0.0
1002,1,1.0
1003,2,0.0
1004,3,0.0
1005,4,1.0
1006,5,1.0
1007,6,1.0
1008,7,0.0
1009,8,1.0
1010,9,1.0
1011,10,1.0
1013,11,0.0
1014,12,0.0
1015,13,0.0
1017,14,1.0
1018,15,1.0
1019,16,0.0
1020,17,0.0
1021,18,1.0
1022,19,0.0
1023,20,0.0
1024,21,0.0
1025,22,0.0
1026,23,1.0
1028,24,0.0
1030,25,0.0
1033,26,1.0
1034,27,1.0
1035,28,0.0
1036,29,1.0
1037,30,1.0
1039,31,0.0
1040,32,1.0
1042,33,0.0
2001,34,0.0
2002,35,1.0
2003,36,1.0
2004,37,1.0
2005,38,0.0
2006,39,1.0
2007,40,0.0
2008,41,1.0
2009,42,1.0
2011,43,1.0
2012,44,1.0
2013,45,1.0
2014,46,0.0
2015,47,1.0
2017,48,1.0
2018,49,0.0
2019,50,0.0
2020,51,1.0
2021,52,0.0
2022,53,0.0
2023,54,1.0
2024,55,1.0
2025,56,0.0
2026,57,1.0
2027,58,1.0
2028,59,1.0
2029,60,1.0
2030,61,0.0
2031,62,1.0
2032,63,1.0
2033,64,0.0
2034,65,1.0
2036,66,0.0
2037,67,1.0
2038,68,0.0
2039,69,1.0
2040,70,0.0
3001,71,0.0
3002,72,0.0
3003,73,0.0
3004,74,1.0
3005,75,1.0
3006,76,1.0
3007,77,0.0
3008,78,1.0
3009,79,1.0
3010,80,1.0
3011,81,0.0
3012,82,0.0
3013,83,0.0
3014,84,0.0
3015,85,0.0
3016,86,1.0
3017,87,0.0
3018,88,0.0
3019,89,0.0
3020,90,0.0
3021,91,0.0
3022,92,1.0
3023,93,1.0
3024,94,0.0
3025,95,1.0
3026,96,0.0
4001,97,1.0
4002,98,0.0
4003,99,1.0
4004,100,0.0
4005,101,1.0
4006,102,0.0
4007,103,0.0
4008,104,0.0
4009,105,1.0
4010,106,1.0
4011,107,1.0
4012,108,1.0
4013,109,1.0
4014,110,1.0
4015,111,0.0
4016,112,1.0
4017,113,1.0
4018,114,1.0
4019,115,0.0
4022,116,1.0
4023,117,1.0
4024,118,1.0
4025,119,1.0
4026,120,0.0
4027,121,0.0
4028,122,1.0
