subject,sub_index,cluster
1001,0,1.0
1002,1,1.0
1003,2,1.0
1004,3,1.0
1005,4,1.0
1006,5,1.0
1007,6,0.0
1008,7,1.0
1009,8,1.0
1010,9,1.0
1011,10,1.0
1013,11,1.0
1014,12,0.0
1015,13,1.0
1017,14,1.0
1018,15,1.0
1019,16,1.0
1020,17,0.0
1021,18,0.0
1022,19,0.0
1023,20,0.0
1024,21,0.0
1025,22,1.0
1026,23,1.0
1028,24,0.0
1030,25,1.0
1033,26,1.0
1034,27,1.0
1035,28,0.0
1036,29,1.0
1039,30,1.0
1040,31,1.0
1042,32,1.0
2001,33,0.0
2002,34,1.0
2003,35,0.0
2004,36,1.0
2005,37,1.0
2007,38,0.0
2008,39,1.0
2009,40,1.0
2010,41,0.0
2011,42,1.0
2012,43,1.0
2013,44,0.0
2014,45,1.0
2015,46,0.0
2016,47,1.0
2017,48,1.0
2018,49,0.0
2019,50,1.0
2020,51,1.0
2021,52,1.0
2022,53,1.0
2023,54,1.0
2025,55,1.0
2026,56,1.0
2027,57,1.0
2028,58,1.0
2029,59,0.0
2030,60,0.0
2031,61,1.0
2032,62,1.0
2033,63,1.0
2034,64,1.0
2035,65,1.0
2036,66,1.0
2037,67,1.0
2038,68,1.0
2039,69,1.0
2040,70,1.0
3002,71,1.0
3003,72,1.0
3004,73,1.0
3005,74,1.0
3006,75,1.0
3007,76,1.0
3008,77,1.0
3009,78,1.0
3010,79,1.0
3011,80,1.0
3012,81,1.0
3013,82,1.0
3014,83,1.0
3015,84,1.0
3016,85,0.0
3017,86,1.0
3018,87,1.0
3019,88,0.0
3020,89,1.0
3022,90,0.0
3023,91,1.0
3024,92,1.0
3026,93,1.0
4001,94,1.0
4002,95,1.0
4003,96,1.0
4004,97,1.0
4005,98,1.0
4006,99,0.0
4007,100,1.0
4008,101,0.0
4009,102,1.0
4010,103,1.0
4011,104,1.0
4012,105,1.0
4013,106,1.0
4014,107,1.0
4015,108,1.0
4016,109,0.0
4017,110,1.0
4018,111,1.0
4019,112,1.0
4020,113,1.0
4021,114,1.0
4022,115,0.0
4023,116,1.0
4024,117,1.0
4025,118,1.0
4026,119,0.0
4027,120,1.0
4028,121,1.0
4029,122,1.0
