subject,sub_index,cluster
1001,0,1.0
1002,1,1.0
1003,2,1.0
1004,3,1.0
1005,4,1.0
1006,5,0.0
1007,6,0.0
1008,7,1.0
1009,8,1.0
1010,9,1.0
1011,10,1.0
1013,11,1.0
1014,12,1.0
1015,13,0.0
1017,14,1.0
1018,15,1.0
1019,16,1.0
1020,17,0.0
1021,18,0.0
1022,19,0.0
1023,20,1.0
1024,21,0.0
1025,22,1.0
1026,23,1.0
1028,24,0.0
1030,25,1.0
1033,26,1.0
1034,27,1.0
1035,28,0.0
1036,29,1.0
1039,30,1.0
1040,31,1.0
1042,32,0.0
2001,33,1.0
2002,34,1.0
2003,35,0.0
2004,36,0.0
2005,37,1.0
2006,38,1.0
2007,39,0.0
2008,40,0.0
2009,41,1.0
2010,42,0.0
2011,43,1.0
2012,44,0.0
2013,45,1.0
2014,46,0.0
2015,47,0.0
2016,48,1.0
2017,49,0.0
2018,50,0.0
2019,51,0.0
2020,52,0.0
2021,53,0.0
2022,54,0.0
2023,55,1.0
2025,56,1.0
2026,57,1.0
2027,58,1.0
2028,59,1.0
2029,60,1.0
2030,61,1.0
2031,62,0.0
2032,63,0.0
2033,64,0.0
2034,65,0.0
2035,66,1.0
2036,67,1.0
2037,68,0.0
2038,69,1.0
2039,70,0.0
2040,71,0.0
3002,72,1.0
3003,73,1.0
3004,74,1.0
3005,75,1.0
3006,76,1.0
3007,77,1.0
3008,78,0.0
3009,79,1.0
3010,80,1.0
3011,81,1.0
3012,82,1.0
3013,83,0.0
3014,84,0.0
3015,85,1.0
3016,86,0.0
3017,87,1.0
3018,88,0.0
3019,89,1.0
3020,90,1.0
3022,91,1.0
3023,92,1.0
3024,93,0.0
4001,94,1.0
4002,95,1.0
4003,96,1.0
4004,97,1.0
4005,98,1.0
4006,99,0.0
4007,100,1.0
4008,101,0.0
4009,102,1.0
4010,103,0.0
4011,104,1.0
4012,105,1.0
4013,106,0.0
4014,107,0.0
4015,108,0.0
4016,109,0.0
4017,110,1.0
4018,111,0.0
4019,112,0.0
4020,113,1.0
4021,114,1.0
4022,115,0.0
4023,116,1.0
4024,117,1.0
4025,118,1.0
4026,119,0.0
4027,120,0.0
4028,121,0.0
4029,122,0.0
