subject,sub_index,cluster
1001,0,1.0
1002,1,0.0
1003,2,1.0
1004,3,1.0
1005,4,1.0
1006,5,0.0
1007,6,0.0
1008,7,1.0
1009,8,0.0
1010,9,1.0
1011,10,1.0
1013,11,1.0
1014,12,1.0
1015,13,1.0
1017,14,0.0
1018,15,1.0
1019,16,1.0
1020,17,1.0
1021,18,1.0
1022,19,1.0
1023,20,1.0
1024,21,1.0
1025,22,0.0
1026,23,0.0
1028,24,0.0
1030,25,1.0
1033,26,0.0
1034,27,1.0
1035,28,0.0
1036,29,0.0
1037,30,1.0
1039,31,1.0
1040,32,1.0
1042,33,1.0
2001,34,1.0
2002,35,1.0
2003,36,1.0
2004,37,1.0
2005,38,1.0
2006,39,1.0
2007,40,0.0
2008,41,1.0
2009,42,0.0
2011,43,0.0
2012,44,1.0
2013,45,1.0
2014,46,1.0
2015,47,0.0
2017,48,1.0
2018,49,1.0
2019,50,1.0
2020,51,1.0
2021,52,0.0
2023,53,1.0
2024,54,1.0
2025,55,0.0
2026,56,1.0
2027,57,1.0
2028,58,1.0
2029,59,1.0
2030,60,0.0
2031,61,1.0
2032,62,0.0
2033,63,1.0
2034,64,1.0
2035,65,1.0
2036,66,1.0
2037,67,1.0
2038,68,1.0
2039,69,0.0
2040,70,1.0
3001,71,1.0
3002,72,0.0
3003,73,1.0
3004,74,1.0
3005,75,1.0
3006,76,1.0
3007,77,0.0
3008,78,0.0
3009,79,1.0
3010,80,0.0
3011,81,1.0
3012,82,1.0
3013,83,0.0
3014,84,1.0
3015,85,0.0
3016,86,1.0
3017,87,1.0
3018,88,1.0
3019,89,1.0
3020,90,1.0
3021,91,1.0
3022,92,1.0
3023,93,1.0
3024,94,0.0
3025,95,0.0
3026,96,0.0
4001,97,1.0
4002,98,0.0
4003,99,0.0
4004,100,1.0
4005,101,1.0
4006,102,1.0
4007,103,1.0
4008,104,0.0
4009,105,1.0
4010,106,1.0
4011,107,1.0
4012,108,0.0
4013,109,1.0
4016,110,1.0
4017,111,1.0
4018,112,0.0
4019,113,1.0
4020,114,1.0
4022,115,1.0
4023,116,0.0
4024,117,1.0
4025,118,0.0
4026,119,0.0
4027,120,1.0
4028,121,1.0
4029,122,1.0
