subject,sub_index,cluster
1001,0,1.0
1002,1,1.0
1003,2,1.0
1004,3,0.0
1005,4,0.0
1006,5,0.0
1007,6,0.0
1008,7,1.0
1009,8,1.0
1010,9,1.0
1011,10,1.0
1013,11,0.0
1014,12,1.0
1015,13,1.0
1017,14,1.0
1018,15,1.0
1019,16,1.0
1020,17,1.0
1021,18,1.0
1022,19,1.0
1023,20,1.0
1024,21,1.0
1025,22,0.0
1026,23,0.0
1028,24,1.0
1030,25,1.0
1033,26,0.0
1034,27,1.0
1035,28,0.0
1036,29,0.0
1037,30,1.0
1039,31,1.0
1040,32,1.0
1042,33,0.0
2001,34,0.0
2002,35,1.0
2003,36,1.0
2004,37,1.0
2005,38,1.0
2006,39,1.0
2007,40,0.0
2008,41,1.0
2009,42,0.0
2011,43,0.0
2012,44,0.0
2013,45,1.0
2014,46,0.0
2015,47,0.0
2017,48,1.0
2018,49,1.0
2019,50,1.0
2020,51,0.0
2021,52,0.0
2022,53,1.0
2023,54,0.0
2024,55,1.0
2025,56,0.0
2026,57,1.0
2027,58,1.0
2028,59,1.0
2029,60,0.0
2030,61,0.0
2031,62,0.0
2032,63,0.0
2033,64,1.0
2034,65,1.0
2035,66,1.0
2036,67,1.0
2037,68,1.0
2038,69,1.0
2039,70,0.0
2040,71,0.0
3001,72,1.0
3002,73,0.0
3003,74,0.0
3004,75,1.0
3005,76,1.0
3006,77,1.0
3007,78,0.0
3008,79,0.0
3009,80,1.0
3010,81,0.0
3011,82,1.0
3012,83,0.0
3013,84,0.0
3014,85,1.0
3015,86,1.0
3016,87,0.0
3017,88,1.0
3018,89,0.0
3019,90,1.0
3020,91,0.0
3021,92,1.0
3022,93,1.0
3023,94,1.0
3024,95,0.0
3025,96,0.0
3026,97,0.0
4001,98,1.0
4002,99,0.0
4003,100,1.0
4004,101,0.0
4005,102,1.0
4006,103,1.0
4007,104,0.0
4008,105,0.0
4009,106,1.0
4010,107,0.0
4011,108,1.0
4012,109,0.0
4013,110,0.0
4016,111,1.0
4017,112,1.0
4018,113,0.0
4019,114,0.0
4020,115,1.0
4022,116,1.0
4023,117,1.0
4024,118,0.0
4025,119,0.0
4026,120,0.0
4027,121,0.0
4028,122,1.0
4029,123,1.0
