subject,sub_index,cluster
1001,0,1.0
1002,1,0.0
1003,2,1.0
1004,3,1.0
1005,4,0.0
1006,5,1.0
1007,6,1.0
1008,7,1.0
1009,8,1.0
1010,9,0.0
1011,10,1.0
1013,11,1.0
1014,12,0.0
1015,13,0.0
1017,14,0.0
1018,15,0.0
1019,16,0.0
1020,17,0.0
1021,18,1.0
1022,19,1.0
1023,20,1.0
1024,21,1.0
1025,22,1.0
1026,23,0.0
1028,24,1.0
1030,25,1.0
1033,26,0.0
1034,27,1.0
1035,28,1.0
1036,29,0.0
1037,30,1.0
1039,31,0.0
1040,32,0.0
1042,33,1.0
2001,34,1.0
2002,35,0.0
2003,36,0.0
2004,37,0.0
2005,38,1.0
2006,39,0.0
2007,40,1.0
2008,41,1.0
2009,42,0.0
2010,43,0.0
2011,44,1.0
2012,45,0.0
2013,46,1.0
2014,47,1.0
2015,48,0.0
2016,49,1.0
2017,50,0.0
2018,51,1.0
2019,52,0.0
2020,53,0.0
2021,54,1.0
2022,55,0.0
2023,56,1.0
2024,57,1.0
2025,58,1.0
2026,59,0.0
2027,60,0.0
2028,61,1.0
2029,62,1.0
2030,63,0.0
2031,64,1.0
2032,65,0.0
2033,66,0.0
2034,67,0.0
2036,68,1.0
2037,69,0.0
2038,70,0.0
2039,71,0.0
2040,72,0.0
3001,73,1.0
3002,74,0.0
3003,75,1.0
3004,76,0.0
3005,77,0.0
3006,78,1.0
3007,79,1.0
3008,80,1.0
3009,81,0.0
3010,82,0.0
3011,83,0.0
3012,84,0.0
3013,85,1.0
3014,86,1.0
3015,87,1.0
3016,88,1.0
3017,89,0.0
3018,90,0.0
3019,91,0.0
3020,92,1.0
3021,93,1.0
3022,94,1.0
3023,95,0.0
3024,96,1.0
3025,97,0.0
3026,98,1.0
4001,99,0.0
4002,100,1.0
4003,101,0.0
4004,102,1.0
4005,103,1.0
4006,104,0.0
4007,105,1.0
4008,106,1.0
4009,107,0.0
4010,108,0.0
4011,109,0.0
4012,110,0.0
4013,111,0.0
4014,112,1.0
4016,113,1.0
4017,114,0.0
4018,115,0.0
4019,116,0.0
4020,117,1.0
4021,118,0.0
4022,119,0.0
4023,120,1.0
4024,121,1.0
4025,122,1.0
4026,123,0.0
4027,124,0.0
4028,125,1.0
4029,126,1.0
