subject,sub_index,cluster
1001,0,1.0
1002,1,1.0
1003,2,1.0
1004,3,1.0
1005,4,0.0
1006,5,1.0
1007,6,1.0
1008,7,1.0
1009,8,0.0
1010,9,0.0
1011,10,1.0
1013,11,1.0
1014,12,0.0
1015,13,0.0
1017,14,1.0
1018,15,0.0
1019,16,1.0
1020,17,1.0
1021,18,1.0
1022,19,1.0
1023,20,0.0
1024,21,1.0
1025,22,1.0
1026,23,0.0
1028,24,1.0
1030,25,1.0
1033,26,1.0
1034,27,1.0
1035,28,1.0
1036,29,0.0
1037,30,1.0
1039,31,0.0
1040,32,0.0
1042,33,1.0
2001,34,1.0
2002,35,0.0
2003,36,0.0
2004,37,0.0
2005,38,0.0
2006,39,0.0
2007,40,1.0
2008,41,1.0
2009,42,0.0
2010,43,1.0
2011,44,1.0
2012,45,1.0
2013,46,0.0
2014,47,0.0
2015,48,0.0
2016,49,0.0
2017,50,0.0
2018,51,1.0
2019,52,0.0
2020,53,1.0
2021,54,1.0
2022,55,0.0
2023,56,1.0
2024,57,1.0
2025,58,1.0
2026,59,0.0
2027,60,1.0
2029,61,1.0
2030,62,0.0
2031,63,1.0
2032,64,0.0
2033,65,1.0
2034,66,0.0
2036,67,1.0
2037,68,0.0
2038,69,0.0
2039,70,0.0
2040,71,0.0
3001,72,0.0
3002,73,0.0
3003,74,1.0
3004,75,0.0
3005,76,1.0
3006,77,0.0
3007,78,1.0
3008,79,1.0
3009,80,0.0
3010,81,0.0
3011,82,1.0
3012,83,1.0
3013,84,1.0
3014,85,1.0
3015,86,1.0
3016,87,0.0
3017,88,0.0
3018,89,1.0
3019,90,0.0
3020,91,1.0
3021,92,1.0
3022,93,0.0
3023,94,0.0
3024,95,0.0
3025,96,0.0
3026,97,1.0
4001,98,1.0
4002,99,1.0
4003,100,0.0
4004,101,1.0
4005,102,0.0
4006,103,0.0
4007,104,1.0
4008,105,1.0
4009,106,0.0
4010,107,0.0
4011,108,1.0
4012,109,1.0
4013,110,0.0
4014,111,1.0
4016,112,1.0
4017,113,0.0
4018,114,0.0
4019,115,0.0
4020,116,1.0
4021,117,0.0
4022,118,0.0
4023,119,1.0
4024,120,0.0
4025,121,1.0
4026,122,1.0
4027,123,1.0
4028,124,0.0
4029,125,1.0
