subject,sub_index,cluster
1001,0,1.0
1002,1,1.0
1003,2,0.0
1004,3,1.0
1005,4,0.0
1006,5,1.0
1007,6,1.0
1008,7,0.0
1009,8,0.0
1010,9,0.0
1011,10,1.0
1013,11,1.0
1014,12,0.0
1015,13,1.0
1017,14,0.0
1018,15,1.0
1019,16,1.0
1020,17,1.0
1021,18,1.0
1022,19,1.0
1023,20,0.0
1024,21,0.0
1025,22,0.0
1026,23,0.0
1028,24,1.0
1030,25,0.0
1033,26,0.0
1034,27,1.0
1035,28,1.0
1036,29,0.0
1037,30,1.0
1039,31,0.0
1040,32,1.0
1042,33,1.0
2001,34,0.0
2002,35,1.0
2003,36,0.0
2004,37,0.0
2005,38,0.0
2006,39,1.0
2007,40,0.0
2008,41,0.0
2009,42,0.0
2010,43,0.0
2011,44,1.0
2012,45,1.0
2013,46,1.0
2014,47,1.0
2015,48,1.0
2016,49,1.0
2017,50,0.0
2018,51,1.0
2019,52,0.0
2020,53,0.0
2021,54,1.0
2022,55,1.0
2023,56,0.0
2024,57,0.0
2025,58,1.0
2026,59,0.0
2027,60,0.0
2028,61,0.0
2029,62,0.0
2030,63,0.0
2031,64,1.0
2032,65,1.0
2033,66,1.0
2034,67,0.0
2035,68,0.0
2036,69,1.0
2037,70,0.0
2038,71,0.0
2039,72,0.0
2040,73,0.0
3001,74,0.0
3002,75,1.0
3003,76,1.0
3004,77,0.0
3005,78,1.0
3006,79,1.0
3007,80,1.0
3008,81,1.0
3009,82,0.0
3010,83,0.0
3011,84,1.0
3012,85,0.0
3013,86,0.0
3014,87,1.0
3015,88,1.0
3016,89,0.0
3017,90,0.0
3018,91,0.0
3019,92,0.0
3020,93,0.0
3021,94,1.0
3022,95,0.0
3023,96,0.0
3024,97,0.0
3025,98,1.0
3026,99,1.0
4001,100,1.0
4002,101,0.0
4003,102,0.0
4004,103,0.0
4005,104,1.0
4006,105,0.0
4007,106,1.0
4008,107,0.0
4009,108,0.0
4010,109,0.0
4011,110,0.0
4012,111,0.0
4013,112,0.0
4014,113,1.0
4015,114,1.0
4016,115,0.0
4017,116,0.0
4018,117,0.0
4019,118,0.0
4020,119,0.0
4021,120,0.0
4022,121,1.0
4023,122,0.0
4024,123,0.0
4025,124,0.0
4026,125,0.0
4027,126,0.0
4028,127,0.0
4029,128,0.0
