subject,sub_index,cluster
5,0,0.0
6,1,0.0
7,2,0.0
8,3,0.0
9,4,0.0
10,5,1.0
11,6,0.0
14,7,0.0
15,8,0.0
19,9,1.0
22,10,1.0
23,11,0.0
24,12,0.0
25,13,0.0
26,14,1.0
27,15,0.0
28,16,0.0
29,17,0.0
30,18,0.0
31,19,1.0
32,20,0.0
33,21,0.0
35,22,1.0
36,23,1.0
38,24,0.0
39,25,0.0
40,26,0.0
41,27,0.0
42,28,0.0
43,29,1.0
44,30,0.0
45,31,0.0
46,32,1.0
47,33,0.0
48,34,0.0
49,35,1.0
50,36,1.0
51,37,0.0
52,38,0.0
53,39,0.0
54,40,0.0
55,41,1.0
56,42,0.0
57,43,0.0
58,44,0.0
59,45,0.0
60,46,0.0
61,47,1.0
62,48,0.0
63,49,1.0
64,50,0.0
66,51,0.0
67,52,0.0
68,53,0.0
69,54,0.0
70,55,0.0
71,56,0.0
73,57,1.0
74,58,0.0
75,59,0.0
76,60,0.0
78,61,1.0
79,62,0.0
80,63,1.0
81,64,0.0
82,65,0.0
83,66,0.0
84,67,0.0
85,68,1.0
86,69,0.0
87,70,1.0
88,71,1.0
89,72,0.0
90,73,1.0
91,74,0.0
92,75,0.0
93,76,0.0
94,77,0.0
95,78,0.0
96,79,0.0
97,80,0.0
98,81,0.0
99,82,1.0
100,83,0.0
101,84,0.0
102,85,1.0
103,86,1.0
104,87,0.0
105,88,0.0
107,89,1.0
108,90,1.0
