subject,sub_index,cluster
5,0,0.0
6,1,0.0
7,2,0.0
8,3,1.0
9,4,1.0
10,5,0.0
11,6,1.0
12,7,1.0
14,8,1.0
15,9,0.0
17,10,0.0
19,11,1.0
22,12,0.0
23,13,0.0
24,14,0.0
26,15,1.0
27,16,1.0
28,17,1.0
29,18,0.0
30,19,1.0
31,20,1.0
32,21,0.0
33,22,0.0
35,23,1.0
36,24,0.0
38,25,1.0
39,26,0.0
40,27,1.0
41,28,1.0
42,29,1.0
43,30,1.0
44,31,0.0
45,32,0.0
46,33,0.0
47,34,1.0
48,35,1.0
49,36,1.0
50,37,1.0
51,38,1.0
52,39,1.0
53,40,0.0
54,41,1.0
55,42,1.0
56,43,1.0
57,44,1.0
58,45,1.0
60,46,0.0
61,47,1.0
62,48,0.0
63,49,1.0
64,50,1.0
66,51,1.0
67,52,0.0
69,53,0.0
70,54,0.0
71,55,1.0
73,56,1.0
74,57,0.0
75,58,1.0
76,59,1.0
78,60,1.0
79,61,0.0
80,62,1.0
81,63,1.0
82,64,0.0
83,65,1.0
84,66,0.0
85,67,0.0
86,68,1.0
87,69,1.0
88,70,1.0
90,71,0.0
91,72,1.0
92,73,0.0
93,74,1.0
94,75,0.0
95,76,1.0
96,77,0.0
97,78,1.0
98,79,1.0
99,80,1.0
100,81,1.0
101,82,1.0
102,83,0.0
103,84,1.0
104,85,0.0
105,86,1.0
107,87,0.0
