subject,sub_index,cluster
6,0,0.0
7,1,0.0
8,2,1.0
9,3,1.0
11,4,1.0
12,5,0.0
13,6,1.0
14,7,0.0
15,8,1.0
16,9,1.0
17,10,1.0
19,11,1.0
22,12,1.0
23,13,0.0
24,14,1.0
25,15,1.0
26,16,0.0
27,17,1.0
29,18,0.0
30,19,0.0
31,20,1.0
32,21,0.0
33,22,0.0
35,23,0.0
36,24,1.0
38,25,0.0
39,26,1.0
40,27,1.0
41,28,0.0
42,29,1.0
43,30,0.0
44,31,0.0
45,32,1.0
46,33,1.0
47,34,0.0
48,35,0.0
49,36,0.0
50,37,0.0
51,38,0.0
52,39,1.0
53,40,1.0
54,41,0.0
55,42,0.0
56,43,0.0
57,44,0.0
58,45,1.0
59,46,1.0
60,47,1.0
61,48,1.0
62,49,1.0
64,50,1.0
66,51,1.0
67,52,1.0
68,53,1.0
69,54,1.0
70,55,1.0
71,56,0.0
73,57,1.0
74,58,0.0
75,59,0.0
76,60,1.0
78,61,0.0
79,62,1.0
80,63,1.0
81,64,1.0
83,65,0.0
84,66,0.0
85,67,1.0
86,68,1.0
87,69,1.0
88,70,1.0
89,71,0.0
90,72,0.0
91,73,1.0
92,74,1.0
93,75,1.0
94,76,0.0
95,77,0.0
96,78,0.0
97,79,1.0
99,80,1.0
100,81,0.0
101,82,1.0
102,83,0.0
103,84,1.0
104,85,0.0
105,86,1.0
106,87,1.0
107,88,0.0
108,89,1.0
