subject,sub_index,cluster
5,0,0.0
6,1,0.0
7,2,0.0
8,3,1.0
9,4,0.0
11,5,1.0
12,6,0.0
13,7,1.0
14,8,0.0
15,9,1.0
16,10,0.0
17,11,1.0
19,12,1.0
22,13,0.0
23,14,0.0
24,15,0.0
25,16,1.0
26,17,0.0
27,18,1.0
29,19,0.0
30,20,0.0
31,21,1.0
32,22,0.0
33,23,0.0
35,24,0.0
36,25,1.0
38,26,1.0
39,27,1.0
40,28,0.0
41,29,0.0
42,30,0.0
43,31,1.0
44,32,0.0
45,33,1.0
46,34,1.0
47,35,0.0
48,36,0.0
49,37,0.0
50,38,0.0
51,39,1.0
52,40,1.0
53,41,0.0
54,42,0.0
55,43,0.0
56,44,1.0
57,45,0.0
58,46,1.0
59,47,1.0
60,48,1.0
61,49,1.0
62,50,1.0
64,51,0.0
66,52,1.0
67,53,0.0
68,54,1.0
69,55,1.0
70,56,1.0
71,57,0.0
73,58,1.0
74,59,0.0
75,60,0.0
76,61,1.0
78,62,0.0
79,63,1.0
80,64,0.0
81,65,1.0
83,66,0.0
84,67,0.0
85,68,0.0
86,69,1.0
87,70,1.0
88,71,0.0
89,72,0.0
90,73,0.0
91,74,0.0
92,75,1.0
93,76,1.0
94,77,0.0
95,78,0.0
96,79,0.0
97,80,1.0
99,81,1.0
100,82,0.0
101,83,0.0
102,84,0.0
103,85,0.0
104,86,0.0
105,87,0.0
106,88,1.0
107,89,0.0
108,90,1.0
