subject,sub_index,cluster
5,0,0.0
6,1,0.0
7,2,0.0
8,3,0.0
9,4,0.0
10,5,0.0
11,6,0.0
12,7,0.0
13,8,0.0
14,9,0.0
16,10,0.0
17,11,0.0
19,12,1.0
22,13,0.0
23,14,1.0
24,15,0.0
25,16,1.0
26,17,0.0
27,18,1.0
28,19,0.0
29,20,1.0
30,21,1.0
31,22,1.0
32,23,1.0
35,24,0.0
36,25,0.0
38,26,0.0
39,27,0.0
40,28,0.0
41,29,0.0
42,30,0.0
43,31,1.0
44,32,1.0
45,33,0.0
46,34,0.0
47,35,0.0
48,36,1.0
49,37,1.0
50,38,0.0
51,39,0.0
52,40,0.0
53,41,1.0
54,42,1.0
55,43,0.0
56,44,0.0
57,45,0.0
58,46,0.0
60,47,0.0
61,48,0.0
62,49,1.0
63,50,1.0
64,51,1.0
66,52,1.0
67,53,0.0
68,54,0.0
69,55,0.0
70,56,0.0
71,57,0.0
73,58,0.0
74,59,0.0
75,60,0.0
76,61,0.0
78,62,1.0
79,63,0.0
81,64,1.0
82,65,0.0
83,66,0.0
84,67,0.0
85,68,0.0
86,69,0.0
87,70,0.0
88,71,0.0
89,72,0.0
90,73,0.0
91,74,0.0
92,75,0.0
93,76,1.0
94,77,0.0
95,78,1.0
96,79,0.0
97,80,0.0
99,81,1.0
100,82,0.0
101,83,0.0
102,84,1.0
103,85,0.0
104,86,1.0
105,87,0.0
106,88,0.0
107,89,0.0
108,90,1.0
