subject,sub_index,cluster
5,0,1.0
6,1,1.0
7,2,1.0
8,3,1.0
9,4,1.0
10,5,1.0
11,6,0.0
12,7,1.0
13,8,1.0
14,9,1.0
15,10,0.0
16,11,1.0
17,12,1.0
19,13,1.0
22,14,1.0
23,15,0.0
24,16,1.0
25,17,0.0
26,18,1.0
27,19,1.0
28,20,1.0
29,21,0.0
30,22,1.0
31,23,0.0
32,24,0.0
35,25,1.0
38,26,1.0
39,27,1.0
40,28,1.0
41,29,1.0
42,30,1.0
43,31,1.0
44,32,0.0
45,33,1.0
46,34,0.0
47,35,1.0
48,36,1.0
50,37,1.0
51,38,1.0
52,39,1.0
53,40,0.0
54,41,0.0
55,42,1.0
56,43,1.0
57,44,1.0
58,45,1.0
59,46,0.0
60,47,0.0
61,48,1.0
62,49,0.0
63,50,0.0
64,51,0.0
66,52,1.0
67,53,0.0
68,54,0.0
69,55,1.0
70,56,1.0
71,57,1.0
73,58,0.0
74,59,1.0
76,60,1.0
78,61,1.0
79,62,1.0
80,63,0.0
81,64,1.0
82,65,1.0
83,66,1.0
84,67,1.0
85,68,1.0
86,69,1.0
87,70,1.0
88,71,1.0
89,72,1.0
90,73,1.0
91,74,1.0
92,75,1.0
93,76,1.0
94,77,1.0
95,78,1.0
96,79,1.0
97,80,1.0
98,81,0.0
99,82,0.0
100,83,1.0
101,84,0.0
102,85,0.0
103,86,1.0
104,87,0.0
105,88,1.0
106,89,0.0
107,90,1.0
108,91,1.0
