subject,sub_index,cluster
5,0,1.0
6,1,0.0
7,2,1.0
8,3,0.0
9,4,0.0
10,5,0.0
11,6,1.0
12,7,0.0
13,8,0.0
14,9,1.0
15,10,0.0
16,11,1.0
17,12,0.0
19,13,1.0
22,14,0.0
23,15,0.0
24,16,0.0
25,17,1.0
26,18,0.0
28,19,0.0
29,20,0.0
30,21,0.0
31,22,0.0
32,23,0.0
33,24,1.0
35,25,1.0
36,26,1.0
38,27,1.0
39,28,1.0
40,29,1.0
41,30,0.0
42,31,1.0
43,32,0.0
44,33,0.0
45,34,1.0
46,35,0.0
47,36,0.0
48,37,0.0
49,38,1.0
50,39,0.0
51,40,1.0
52,41,1.0
53,42,0.0
54,43,0.0
55,44,1.0
56,45,1.0
57,46,1.0
58,47,0.0
59,48,1.0
60,49,0.0
61,50,0.0
62,51,0.0
63,52,0.0
64,53,1.0
66,54,1.0
67,55,1.0
68,56,1.0
69,57,0.0
70,58,1.0
71,59,1.0
73,60,0.0
74,61,1.0
75,62,0.0
76,63,1.0
78,64,1.0
79,65,1.0
80,66,0.0
81,67,1.0
82,68,0.0
83,69,1.0
84,70,1.0
85,71,1.0
86,72,1.0
87,73,0.0
88,74,0.0
89,75,1.0
90,76,1.0
91,77,0.0
93,78,0.0
95,79,1.0
96,80,1.0
97,81,1.0
98,82,1.0
99,83,0.0
100,84,0.0
101,85,1.0
102,86,1.0
103,87,0.0
104,88,1.0
105,89,1.0
106,90,1.0
107,91,0.0
108,92,0.0
