subject,sub_index,cluster
5,0,1.0
6,1,0.0
7,2,1.0
8,3,1.0
9,4,0.0
10,5,0.0
11,6,1.0
12,7,1.0
13,8,1.0
14,9,1.0
15,10,0.0
16,11,1.0
17,12,1.0
19,13,1.0
22,14,1.0
23,15,1.0
24,16,0.0
25,17,1.0
26,18,1.0
28,19,0.0
29,20,1.0
30,21,0.0
31,22,1.0
32,23,1.0
33,24,1.0
35,25,1.0
36,26,1.0
38,27,1.0
39,28,1.0
40,29,1.0
41,30,1.0
42,31,1.0
43,32,1.0
44,33,1.0
45,34,1.0
46,35,0.0
47,36,0.0
48,37,0.0
49,38,1.0
50,39,1.0
51,40,1.0
52,41,1.0
53,42,0.0
54,43,1.0
55,44,1.0
56,45,1.0
57,46,1.0
58,47,1.0
59,48,1.0
60,49,1.0
62,50,1.0
63,51,1.0
64,52,1.0
66,53,1.0
67,54,1.0
68,55,1.0
69,56,1.0
70,57,1.0
71,58,1.0
73,59,0.0
74,60,1.0
75,61,1.0
76,62,1.0
78,63,1.0
79,64,1.0
80,65,1.0
81,66,1.0
82,67,1.0
84,68,1.0
85,69,1.0
87,70,1.0
88,71,0.0
89,72,1.0
90,73,1.0
91,74,1.0
93,75,1.0
95,76,1.0
96,77,1.0
97,78,1.0
98,79,1.0
100,80,0.0
101,81,1.0
102,82,1.0
103,83,1.0
104,84,1.0
105,85,1.0
106,86,1.0
107,87,1.0
108,88,1.0
