subject,sub_index,cluster
5,0,1.0
6,1,1.0
7,2,0.0
8,3,1.0
9,4,1.0
10,5,1.0
11,6,1.0
12,7,0.0
13,8,0.0
14,9,0.0
15,10,1.0
16,11,1.0
17,12,0.0
19,13,0.0
22,14,0.0
23,15,0.0
24,16,1.0
25,17,0.0
26,18,1.0
27,19,0.0
28,20,0.0
29,21,0.0
30,22,0.0
31,23,0.0
32,24,0.0
33,25,0.0
35,26,0.0
36,27,1.0
38,28,1.0
39,29,1.0
40,30,0.0
41,31,0.0
42,32,0.0
43,33,0.0
44,34,1.0
45,35,0.0
46,36,0.0
47,37,0.0
48,38,1.0
49,39,0.0
50,40,0.0
51,41,1.0
52,42,0.0
53,43,0.0
54,44,0.0
55,45,1.0
56,46,1.0
57,47,0.0
58,48,1.0
59,49,1.0
60,50,0.0
61,51,0.0
62,52,1.0
63,53,0.0
64,54,1.0
66,55,1.0
67,56,0.0
68,57,0.0
69,58,1.0
70,59,1.0
71,60,1.0
73,61,1.0
74,62,1.0
75,63,0.0
76,64,1.0
78,65,0.0
79,66,1.0
80,67,0.0
81,68,1.0
84,69,0.0
85,70,0.0
86,71,1.0
87,72,1.0
88,73,1.0
89,74,1.0
90,75,1.0
91,76,1.0
93,77,1.0
94,78,1.0
95,79,1.0
96,80,1.0
97,81,1.0
99,82,0.0
100,83,0.0
101,84,1.0
102,85,1.0
103,86,0.0
104,87,1.0
105,88,1.0
106,89,0.0
107,90,1.0
108,91,0.0
